n_generators,n_processors,avg_time_ms,speedup,efficiency
10,1,0.0108,1,1
10,2,0.13324,0.0810567,0.0405284
10,4,0.05494,0.196578,0.0491445
10,8,0.08134,0.132776,0.016597
10,16,0.12898,0.0837339,0.00523337
20,1,0.0275,1,1
20,2,0.08516,0.322922,0.161461
20,4,0.0615,0.447154,0.111789
20,8,0.09414,0.292118,0.0365148
20,16,0.1445,0.190311,0.0118945
40,1,0.13196,1,1
40,2,0.13404,0.984482,0.492241
40,4,0.11588,1.13876,0.284691
40,8,0.12988,1.01601,0.127002
40,16,0.2677,0.49294,0.0308087
80,1,0.67004,1,1
80,2,0.58066,1.15393,0.576964
80,4,0.31196,2.14784,0.53696
80,8,0.31536,2.12468,0.265585
80,16,0.4041,1.6581,0.103632
160,1,2.93206,1,1
160,2,1.56048,1.87895,0.939474
160,4,1.02138,2.87068,0.717671
160,8,0.88204,3.32418,0.415523
160,16,0.74132,3.95519,0.247199
320,1,11.7834,1,1
320,2,6.60102,1.78509,0.892547
320,4,4.25364,2.7702,0.69255
320,8,2.85542,4.12669,0.515837
320,16,2.2205,5.30666,0.331666
