n_vars,n_rounds,rows,cols,nnz,cpu_spmm_ms,gpu_spmm_ms,gpu_speedup
6,1,21,42,42,6e-05,0.02806,0.00213828
8,1,36,72,72,0.00012,0.0288,0.00416667
10,1,55,110,110,0.0001,0.02164,0.00462107
12,1,78,156,156,0.00012,0.0218,0.00550459
8,2,414,469,828,0.00056,0.02264,0.024735
10,2,1045,1030,2090,0.00132,0.0341,0.0387097
12,2,2223,1981,4446,0.00292,0.0253,0.115415
10,3,45776,11613,91552,0.0869,0.02772,3.13492
12,3,46993,14461,93986,0.06006,0.02986,2.01139
15,1,120,240,240,0.00016,0.02166,0.00738689
15,2,5580,4469,11160,0.00688,0.02344,0.293515
20,1,210,420,420,0.00028,0.02794,0.0100215
20,2,18165,13005,36330,0.02342,0.02678,0.874533
25,1,325,650,650,0.0004,0.03018,0.0132538
